athlete_id,name,nationality,era,birth_year,career_start,career_end,career_years,olympic_games_count,olympic_gold_individual,olympic_gold_relay,olympic_gold_total,olympic_silver_individual,olympic_silver_relay,olympic_bronze_individual,olympic_bronze_relay,wc_gold_individual,wc_gold_relay,wc_silver_individual,wc_bronze_individual,world_records,events_dominated,olympic_gold_individual_normalized,wc_gold_individual_normalized,olympic_gold_relay_normalized,wc_gold_relay_normalized,world_records_normalized,events_dominated_normalized,career_years_normalized,goat_score,achievement_score,peak_score,versatility_score,longevity_score
sw001,Michael Phelps,USA,Modern,1985,2000,2016,17,5,13,10,23,1,2,2,0,17.0,9,5,3,39,5,100.0,100.0,100.0,100.0,100.0,100.0,65.21739130434783,96.52,100.0,100.0,100.0,65.21739130434783
sw002,Mark Spitz,USA,Pre-Modern,1950,1968,1972,5,2,4,5,9,1,0,1,0,11.56,0,0,0,9,4,30.76923076923077,68.0,50.0,0.0,23.076923076923077,80.0,13.043478260869565,40.6,37.19230769230769,23.076923076923077,80.0,13.043478260869565
sw003,Katie Ledecky,USA,Modern,1997,2012,2024,13,4,7,2,9,2,1,0,0,14.0,5,4,2,16,4,53.84615384615385,82.35294117647058,20.0,55.55555555555556,41.02564102564102,80.0,47.82608695652174,56.34,52.93866264454499,41.02564102564102,80.0,47.82608695652174
sw004,Ian Thorpe,AUS,Modern,1982,1998,2006,9,2,3,2,5,2,0,1,0,7.0,4,3,1,13,2,23.076923076923077,41.17647058823529,20.0,44.44444444444444,33.33333333333333,40.0,30.434782608695656,31.42,32.1744595274007,33.33333333333333,40.0,30.434782608695656
sw005,Ryan Lochte,USA,Modern,1984,2004,2016,13,4,2,4,6,3,1,2,0,13.0,5,6,3,7,2,15.384615384615385,76.47058823529412,40.0,55.55555555555556,17.94871794871795,40.0,47.82608695652174,38.16,46.85268979386626,17.94871794871795,40.0,47.82608695652174
sw006,Matt Biondi,USA,Amateur,1965,1984,1992,9,3,2,6,8,1,0,2,0,5.0,1,2,2,7,2,15.384615384615385,29.411764705882355,60.0,11.11111111111111,17.94871794871795,40.0,30.434782608695656,26.79,28.976872800402212,17.94871794871795,40.0,30.434782608695656
sw007,Caeleb Dressel,USA,Modern,1996,2016,2021,6,2,3,4,7,1,0,0,0,8.0,5,2,1,9,3,23.076923076923077,47.05882352941176,40.0,55.55555555555556,23.076923076923077,60.0,17.391304347826086,34.31,41.4228255404726,23.076923076923077,60.0,17.391304347826086
sw008,Janet Evans,USA,Amateur,1971,1987,1996,10,3,4,0,4,1,0,0,0,2.0,0,1,0,5,3,30.76923076923077,11.76470588235294,0.0,0.0,12.82051282051282,60.0,34.78260869565217,22.99,10.633484162895927,12.82051282051282,60.0,34.78260869565217
sw009,Dawn Fraser,AUS,Pre-Modern,1937,1956,1964,9,3,3,1,4,4,0,1,0,8.67,0,0,0,14,1,23.076923076923077,51.0,10.0,0.0,35.8974358974359,20.0,30.434782608695656,28.55,21.01923076923077,35.8974358974359,20.0,30.434782608695656
sw010,Shane Gould,AUS,Pre-Modern,1956,1971,1972,2,1,3,0,3,1,0,1,0,8.67,0,0,0,11,3,23.076923076923077,51.0,0.0,0.0,28.205128205128204,60.0,0.0,27.35,18.51923076923077,28.205128205128204,60.0,0.0
