athlete_id,name,sport,era,grand_slams,masters_titles,career_wins,career_matches,weeks_at_no1,yearend_no1_count,years_in_top5,finals_won,finals_played,h2h_top10_wins,h2h_top10_total,hard_win_pct,clay_win_pct,grass_win_pct,clay_win_rate_std,grass_win_rate_std,career_win_rate,finals_win_rate,h2h_top10,surface_versatility,grand_slam_normalized,weeks_no1_normalized,masters_titles_normalized,career_win_rate_normalized,yearend_no1_normalized,finals_win_rate_normalized,h2h_top10_normalized,surface_versatility_normalized,longevity_normalized,composite_score
atp_100005,Richard Gonzalez,tennis,Open Era,0.0,0,154,245,0.0,0,0,9,17,0,2,0.6923,0.5714,0.6552,0.2643,0.0397,0.6285714285714286,0.5294117647058824,0.0,83.92000967804292,0.0,0.0,0.0,62.54433723574343,0.0,52.94117647058824,0.0,84.71187685131835,0.0,15.04
atp_100011,Torben Ulrich,tennis,Open Era,0.0,0,83,221,0.0,0,0,1,2,0,3,0.3898,0.2449,0.5217,0.2044,0.2866,0.3755656108597285,0.5,0.0,64.05442957410474,0.0,0.0,0.0,15.996561695012376,0.0,50.0,0.0,64.65884561596667,0.0,8.98
atp_100016,Ken Rosewall,tennis,Open Era,9.333333333333334,1,543,738,0.0,0,2,40,69,10,31,0.7349,0.777,0.7803,0.203,0.1635,0.7357723577235772,0.5797101449275363,0.3225806451612903,93.42808799662194,36.36363636363637,0.0,2.5,82.26706469341039,0.0,57.971014492753625,45.483870967741936,94.30967316600224,10.0,31.15
atp_100022,Roy Emerson,tennis,Open Era,0.0,0,275,449,0.0,0,0,6,22,2,5,0.5536,0.6449,0.6667,0.3211,0.3599,0.6124721603563474,0.2727272727272727,0.4,84.42146998590466,0.0,0.0,0.0,59.58240881044712,0.0,27.27272727272727,56.400000000000006,85.21806892646683,0.0,15.8
atp_100025,Barry Phillips Moore,tennis,Open Era,0.0,0,226,459,0.0,0,0,1,2,1,19,0.3387,0.5476,0.5165,0.2029,0.2884,0.4923747276688453,0.5,0.05263157894736842,70.73783664873743,0.0,0.0,0.0,37.48699460093668,0.0,50.0,7.421052631578946,71.40531715744514,0.0,11.9
atp_100026,Andres Gimeno,tennis,Open Era,2.3333333333333335,0,254,387,0.0,0,0,12,25,0,0,0.6381,0.6835,0.6957,0.0945,0.0845,0.6563307493540051,0.48,0.0,92.11959285982645,9.090909090909092,0.0,0.0,67.65147131130415,0.0,48.0,0.0,92.98883110087353,0.0,18.25
atp_100029,Rod Laver,tennis,Open Era,11.666666666666668,2,580,727,0.0,0,3,72,99,16,36,0.8137,0.7515,0.8491,0.2747,0.1973,0.797799174690509,0.7272727272727273,0.4444444444444444,87.17197864749679,45.45454545454546,0.0,5.0,93.67870091504352,0.0,72.72727272727273,62.66666666666666,87.99453132099202,15.0,36.9
atp_100030,Fred Stolle,tennis,Open Era,0.0,0,177,345,0.0,0,0,6,13,0,4,0.4348,0.5281,0.7027,0.2067,0.3632,0.5130434782608696,0.46153846153846156,0.0,64.6932135631788,0.0,0.0,0.0,41.28961215323815,0.0,46.15384615384615,0.0,65.30365715524839,0.0,11.28
atp_100035,Ion Tiriac,tennis,Open Era,0.0,0,260,468,0.0,0,0,8,15,1,11,0.4026,0.6402,0.4634,0.3192,0.2634,0.5555555555555556,0.5333333333333333,0.09090909090909091,67.95445292986263,0.0,0.0,0.0,49.11094468061166,0.0,53.333333333333336,12.818181818181817,68.59566949739514,0.0,13.4
atp_100037,Nikola Pilic,tennis,Open Era,0.0,0,311,565,0.0,0,0,6,16,1,13,0.5106,0.5436,0.6337,0.2101,0.2228,0.5504424778761062,0.375,0.07692307692307693,83.45684895522947,0.0,0.0,0.0,48.17024539433464,0.0,37.5,10.846153846153847,84.24434575517257,0.0,13.04
atp_100038,Jaime Pinto Bravo,tennis,Open Era,0.0,0,100,234,0.0,0,0,0,0,0,5,0.32,0.4522,0.3182,0.1943,0.2528,0.42735042735042733,0.0,0.0,80.04751912886074,0.0,0.0,0.0,25.523884174109373,0.0,0.0,0.0,80.80284557535981,0.0,7.4
atp_100040,Bob Hewitt,tennis,Open Era,0.0,0,299,480,0.0,0,0,11,20,0,19,0.6087,0.6375,0.6629,0.3547,0.3699,0.6229166666666667,0.55,0.0,92.95949793636964,0.0,0.0,0.0,61.50397938840306,0.0,55.00000000000001,0.0,93.8366615013214,0.0,15.63
atp_100047,Bob Carmichael,tennis,Open Era,0.0,0,216,474,0.0,0,0,1,5,0,15,0.4823,0.4797,0.4902,0.1894,0.1499,0.45569620253164556,0.2,0.0,98.58025779614178,0.0,0.0,0.0,30.73891358567359,0.0,20.0,0.0,99.51045871462689,0.0,10.44
